STATION_NUMBER,PEARSEDA,PERSEDA_CODE
04JF,Northern Ontario,17
04JG,Northern Ontario,17
04KA,Northern Ontario,17
04KB,Northern Ontario,17
04LA,Northern Ontario,17
04LB,Northern Ontario,17
04LC,Northern Ontario,17
04LD,Northern Ontario,17
04LE,Northern Ontario,17
04LF,Northern Ontario,17
04LG,Northern Ontario,17
04LH,Northern Ontario,17
04LJ,Northern Ontario,17
04LK,Northern Ontario,17
04LL,Northern Ontario,17
04LM,Northern Ontario,17
04MA,Northern Ontario,17
04MB,Northern Ontario,17
04MC,Northern Ontario,17
04MD,Northern Ontario,17
04ME,Northern Ontario,17
04MF,Northern Ontario,17
04NA,Northern Quebec,18
04NB,Northern Quebec,18
04NC,Northern Quebec,18
05AA,South Saskatchewan,11
05AB,South Saskatchewan,11
05AC,South Saskatchewan,11
05AD,South Saskatchewan,11
05AE,South Saskatchewan,11
05AF,South Saskatchewan,11
05AG,South Saskatchewan,11
05AH,South Saskatchewan,11
05AJ,South Saskatchewan,11
05AK,South Saskatchewan,11
05BA,South Saskatchewan,11
05BB,South Saskatchewan,11
05BC,South Saskatchewan,11
05BD,South Saskatchewan,11
05BE,South Saskatchewan,11
05BF,South Saskatchewan,11
05BG,South Saskatchewan,11
05BH,South Saskatchewan,11
05BJ,South Saskatchewan,11
05BK,South Saskatchewan,11
05BL,South Saskatchewan,11
05BM,South Saskatchewan,11
05BN,South Saskatchewan,11
05CA,South Saskatchewan,11
05CB,South Saskatchewan,11
05CC,South Saskatchewan,11
05CD,South Saskatchewan,11
05CE,South Saskatchewan,11
05CF,South Saskatchewan,11
05CG,South Saskatchewan,11
05CH,South Saskatchewan,11
05CJ,South Saskatchewan,11
05CK,South Saskatchewan,11
05DA,North Saskatchewan,10
05DB,North Saskatchewan,10
05DC,North Saskatchewan,10
05DD,North Saskatchewan,10
05DE,North Saskatchewan,10
05DF,North Saskatchewan,10
05EA,North Saskatchewan,10
05EB,North Saskatchewan,10
05EC,North Saskatchewan,10
05ED,North Saskatchewan,10
05EE,North Saskatchewan,10
